
# QPROP Version 1.22
# 
# APC 5x4E X-Prop                                                                 
# 
# T-motor F40                                                                     
#   0.82000E-01  Rmotor (Ohms)                  
#   0.70000      Io     (Amps)                  
#    1600.0      Kv     (rpm/Volt)              
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    1.000   500.0      0.000 -0.2248E-02  0.8613E-04  0.4510E-02   0.371    0.7144   0.0170  -0.4984   0.30077 -0.2621E-01  0.1581E-01  -0.1572  -0.0085  0.2651     -0.2248E-02  -0.1753  0.3696    
    3.000   500.0      0.000 -0.1674E-01  0.2765E-03  0.1448E-01   0.374    0.7463   0.0519  -3.4683   0.90230 -0.1951      0.5077E-01  -0.3841  -0.1800  0.2789     -0.5021E-01  -0.2382  0.9552    
    5.000   500.0      0.000 -0.5094E-01  0.5687E-03  0.2978E-01   0.378    0.7953   0.0991  -8.5523   1.50383 -0.5939      0.1044      -0.7064  -0.8478  0.3004     -0.2547      -0.1954   1.295    
    7.000   500.0      0.000 -0.1055      0.8460E-03  0.4430E-01   0.382    0.8417   0.1379 -16.6647   2.10536  -1.229      0.1553      -1.0495  -2.2986  0.3211     -0.7382      -0.1710   1.455    
    9.000   500.0      0.000 -0.1799      0.1091E-02  0.5710E-01   0.385    0.8827   0.1681 -28.3480   2.70689  -2.097      0.2002      -1.3961  -4.7645  0.3397      -1.619      -0.1559   1.541    
   11.000   500.0      0.000 -0.2739      0.1300E-02  0.6805E-01   0.388    0.9177   0.1912 -44.2851   3.30842  -3.194      0.2386      -1.7430  -8.4680  0.3559      -3.013      -0.1457   1.592    
   13.000   500.0      0.000 -0.3876      0.1473E-02  0.7711E-01   0.390    0.9468   0.2088 -65.3477   3.90995  -4.519      0.2704      -2.0894 -13.6427  0.3694      -5.039      -0.1383   1.626    
   15.000   500.0      0.000 -0.5208      0.1610E-02  0.8431E-01   0.392    0.9698   0.2218 -92.6631   4.51148  -6.072      0.2956      -2.4352 -20.5490  0.3802      -7.812      -0.1328   1.649    
   17.000   500.0      0.000 -0.6735      0.1712E-02  0.8965E-01   0.393    0.9869   0.2309-127.7156   5.11301  -7.852      0.3144      -2.7804 -29.4892  0.3883      -11.45      -0.1286   1.666    
   19.000   500.0      0.000 -0.8456      0.1779E-02  0.9314E-01   0.394    0.9981   0.2367-172.4998   5.71454  -9.859      0.3266      -3.1251 -40.8234  0.3936      -16.07      -0.1252   1.679    
   21.000   500.0      0.000  -1.037      0.1811E-02  0.9480E-01   0.395    1.0034   0.2393-229.7605   6.31607  -12.09      0.3324      -3.4694 -54.9891  0.3961      -21.78      -0.1224   1.689    

    1.000   1000.      0.000  0.1025E-01  0.3475E-03  0.3639E-01   0.687    0.7582   0.0699   0.2817   0.15038  0.2988E-01  0.1595E-01   0.5236   0.0197  0.5210      0.1025E-01   0.4910  0.1810    
    3.000   1000.      0.000 -0.1624E-01  0.2412E-03  0.2525E-01   0.686    0.7404   0.0497  -1.9291   0.45115 -0.4733E-01  0.1107E-01  -0.3719  -0.0960  0.5077     -0.4872E-01  -0.2855  0.3783    
    5.000   1000.      0.000 -0.4085E-01  0.6454E-03  0.6758E-01   0.691    0.8081   0.1210  -3.0222   0.75191 -0.1191      0.2962E-01  -0.5576  -0.3656  0.5586     -0.2043      -0.2531  0.7076    
    7.000   1000.      0.000 -0.8608E-01  0.1193E-02  0.1249       0.699    0.8999   0.1986  -4.8236   1.05268 -0.2509      0.5475E-01  -0.8432  -0.9582  0.6288     -0.6025      -0.2250  0.9713    
    9.000   1000.      0.000 -0.1520      0.1773E-02  0.1857       0.707    0.9971   0.2635  -7.3648   1.35344 -0.4429      0.8139E-01  -1.1632  -1.9406  0.7047      -1.368      -0.2038   1.151    
   11.000   1000.      0.000 -0.2381      0.2345E-02  0.2456       0.715    1.0929   0.3144 -10.6667   1.65421 -0.6941      0.1076      -1.4969  -3.3539  0.7810      -2.619      -0.1880   1.274    
   13.000   1000.      0.000 -0.3443      0.2892E-02  0.3029       0.722    1.1846   0.3540 -14.7793   1.95497  -1.004      0.1327      -1.8365  -5.2326  0.8554      -4.476      -0.1760   1.360    
   15.000   1000.      0.000 -0.4703      0.3408E-02  0.3569       0.729    1.2710   0.3850 -19.7676   2.25574  -1.371      0.1564      -2.1788  -7.6115  0.9269      -7.055      -0.1666   1.423    
   17.000   1000.      0.000 -0.6160      0.3890E-02  0.4074       0.736    1.3518   0.4095 -25.7077   2.55650  -1.795      0.1786      -2.5222 -10.5280  0.9947      -10.47      -0.1591   1.470    
   19.000   1000.      0.000 -0.7813      0.4337E-02  0.4542       0.742    1.4267   0.4290 -32.6865   2.85727  -2.277      0.1991      -2.8661 -14.0237   1.059      -14.84      -0.1530   1.507    
   21.000   1000.      0.000 -0.9662      0.4748E-02  0.4973       0.748    1.4956   0.4447 -40.8031   3.15804  -2.816      0.2180      -3.2102 -18.1452   1.118      -20.29      -0.1479   1.536    

    1.000   1500.      0.000  0.3397E-01  0.7517E-03  0.1181       1.005    0.8259   0.1422   0.2877   0.10026  0.4400E-01  0.1533E-01   1.3190   0.0409  0.8303      0.3397E-01   0.6980  0.1381    
    3.000   1500.      0.000 -0.1505E-01  0.2667E-03  0.4190E-01   0.999    0.7447   0.0563  -1.0779   0.30077 -0.1950E-01  0.5442E-02  -0.3430  -0.0607  0.7436     -0.4516E-01  -0.1753  0.1756    
